temp,pressure,ax,ay,az,gx,gy,gz,mx,my,mz,nano,t
-999,-999,-0.016,0.002,0.991,-1.823,0.572,0.374,22.223,11.293,-12.609,2,95.209217
-999,-999,-0.015,0.006,0.989,-1.77,0.549,0.404,23.316,10.565,-13.309,3,190.933575
-999,-999,-0.015,0.005,0.993,-1.64,0.542,0.397,22.04,11.111,-14.185,4,287.172715
-999,-999,-0.017,0.006,0.988,-1.816,0.481,0.443,22.951,11.293,-13.309,5,383.926898
-999,-999,-0.017,0.005,0.992,-1.732,0.519,0.496,23.862,11.111,-13.134,6,481.196018
-999,-999,-0.014,0.003,0.992,-1.671,0.519,0.458,22.405,11.84,-12.084,7,578.980146
-999,-999,-0.016,0.005,0.989,-1.717,0.481,0.42,23.133,11.111,-15.236,8,677.279121
-999,-999,-0.016,0.003,0.99,-1.64,0.45,0.443,22.587,10.201,-14.01,9,776.093171
-999,-999,-0.017,0.005,0.992,-1.732,0.549,0.435,23.498,11.476,-13.485,10,875.422067
-999,-999,-0.016,0.004,0.988,-1.747,0.534,0.42,23.498,11.111,-14.535,11,975.2659659999999
-999,-999,-0.016,0.006,0.995,-1.74,0.519,0.366,22.587,10.929,-13.66,12,1075.624599
-999,-999,-0.017,0.004,0.995,-1.747,0.496,0.404,24.226,11.476,-13.835,13,1176.498085
-999,-999,-0.016,0.005,0.991,-1.747,0.412,0.374,22.223,11.293,-13.66,14,1277.886437
-999,-999,-0.016,0.003,0.989,-1.74,0.45,0.397,23.862,11.476,-13.835,15,1379.7897619999999
-999,-999,-0.015,0.005,0.998,-1.701,0.473,0.481,23.498,10.747,-15.236,16,1482.455211
-999,-999,-0.014,0.004,0.99,-1.854,0.504,0.488,22.04,10.018,-13.485,17,1585.635488
-999,-999,-0.015,0.005,0.994,-1.778,0.526,0.374,23.316,11.658,-14.01,18,1689.3306719999998
-999,-999,-0.017,0.005,0.991,-1.762,0.45,0.443,22.769,11.84,-12.784,19,1793.5407679999998
-999,-999,-0.016,0.005,0.992,-1.747,0.443,0.443,24.226,10.383,-14.535,20,1898.2657929999998
-999,-999,-0.016,0.004,0.988,-1.709,0.435,0.42,22.951,11.658,-12.959,21,2003.505753
-999,-999,-0.027,0.013,1.023,-1.762,0.465,0.244,23.133,12.204,-15.236,22,2109.2607239999998
-999,-999,-0.015,0.005,0.996,-1.793,0.427,0.397,25.501,10.929,-14.01,23,2215.530488
-999,-999,-0.014,0.005,0.993,-1.671,0.488,0.435,23.68,12.022,-12.609,24,2322.315169
-999,-999,-0.015,0.003,0.993,-1.808,0.504,0.374,24.408,11.658,-13.66,25,2429.614599
-999,-999,-0.018,0.006,0.994,-1.77,0.496,0.374,24.591,11.476,-15.236,26,2537.432076
-999,-999,-0.017,0.004,0.991,-1.747,0.45,0.443,22.405,11.84,-13.835,27,2645.764612
-999,-999,-0.016,0.005,0.992,-1.785,0.42,0.351,22.405,9.654,-13.485,28,2754.612036
-999,-999,-0.015,0.005,0.989,-1.732,0.458,0.42,23.316,11.293,-14.36,29,2863.974486
-999,-999,-0.016,0.004,0.991,-1.816,0.42,0.443,22.769,11.476,-14.535,30,2973.8518790000003
-999,-999,-0.014,0.004,0.987,-1.747,0.542,0.42,24.408,10.565,-13.309,31,3084.2442950000004
-999,-999,-0.016,0.005,0.991,-1.747,0.526,0.404,23.316,12.022,-12.959,32,3195.1516730000003
-999,-999,-0.016,0.004,0.994,-1.747,0.557,0.374,23.133,10.018,-14.535,33,3306.5740630000005
-999,-999,-0.014,0.003,0.993,-1.816,0.458,0.397,24.226,12.204,-14.185,34,3418.5112990000007
-999,-999,-0.018,0.005,0.992,-1.831,0.435,0.427,22.951,11.293,-14.01,35,3530.9635490000005
-999,-999,-0.017,0.005,0.992,-1.694,0.58,0.29,22.587,10.201,-13.309,36,3643.9332660000005
-999,-999,-0.016,0.004,0.989,-1.755,0.473,0.443,22.405,11.476,-13.134,37,3757.4178130000005
-999,-999,-0.018,0.007,0.991,-1.747,0.443,0.42,23.498,11.84,-13.835,38,3871.4172030000004
-999,-999,-0.016,0.005,0.99,-1.686,0.526,0.443,23.498,10.747,-13.485,39,3985.9314040000004
-999,-999,-0.015,0.006,0.991,-1.709,0.435,0.374,23.133,10.747,-13.485,40,4100.96043
-999,-999,-0.018,0.005,0.99,-1.762,0.42,0.42,22.769,10.747,-13.134,41,4216.504449
-999,-999,-0.015,0.003,0.993,-1.755,0.496,0.389,23.316,12.022,-13.309,42,4332.563223
-999,-999,-0.017,0.005,0.993,-1.724,0.504,0.412,23.862,10.747,-14.185,43,4449.136957
-999,-999,-0.016,0.004,0.993,-1.747,0.603,0.343,22.769,10.747,-14.886,44,4566.225496
-999,-999,-0.017,0.005,0.991,-1.892,0.58,0.374,22.951,10.929,-13.66,45,4683.828992
-999,-999,-0.016,0.005,0.995,-1.755,0.458,0.443,22.951,12.386,-14.36,46,4801.951593
-999,-999,-0.018,0.004,0.995,-1.732,0.526,0.473,23.133,11.111,-13.835,47,4920.589145
-999,-999,-0.015,0.006,0.992,-1.762,0.465,0.389,23.862,9.654,-12.784,48,5039.741736
-999,-999,-0.015,0.005,0.991,-1.747,0.427,0.435,23.68,9.472,-14.36,49,5159.40948
-999,-999,-0.016,0.003,0.988,-1.671,0.473,0.389,23.133,11.84,-15.236,50,5279.592186
-999,-999,-0.015,0.003,0.992,-1.854,0.473,0.465,22.587,10.201,-14.71,51,5400.289847999999
-999,-999,-0.016,0.006,0.993,-1.74,0.504,0.511,23.133,11.476,-13.134,52,5521.502433999999
-999,-999,-0.016,0.006,0.995,-1.823,0.496,0.397,22.951,10.929,-14.01,53,5643.230028999999
-999,-999,-0.017,0.004,0.995,-1.808,0.465,0.336,23.316,10.929,-12.959,54,5765.472618
-999,-999,-0.015,0.004,0.992,-1.701,0.504,0.397,23.498,11.476,-13.485,55,5888.230200999999
-999,-999,-0.017,0.005,0.994,-1.74,0.534,0.298,23.498,12.569,-13.485,56,6011.507363999999
-999,-999,-0.017,0.006,0.99,-1.717,0.633,0.366,24.044,11.293,-14.36,57,6135.299593999999
-999,-999,-0.016,0.003,0.99,-1.709,0.542,0.435,24.591,10.747,-14.535,58,6259.606685999999
-999,-999,-0.018,0.006,0.992,-1.678,0.496,0.435,22.04,10.018,-13.485,59,6384.428858999999
-999,-999,-0.022,-0.002,0.991,-1.694,2.51,0.603,24.226,13.661,-13.134,60,6509.765847999999
-999,-999,-0.019,0.005,0.993,-1.732,1.06,0.29,23.316,10.929,-13.66,61,6635.617807999999
-999,-999,-0.021,0.006,0.989,-1.709,0.336,0.267,25.137,10.565,-12.609,62,6761.9845399999995
-999,-999,-0.134,0.002,0.979,1.785,2.571,-37.025,24.955,13.661,-14.185,63,6888.866316999999
-999,-999,-0.033,0.004,0.992,-1.678,0.969,0.343,26.959,11.293,-13.309,64,7016.262961999999
-999,-999,-0.032,0.002,0.987,-1.747,-0.206,0.58,25.319,11.84,-12.784,65,7144.174890999999
-999,-999,-0.071,0.041,1.016,-2.228,17.303,13.351,25.683,12.569,-14.886,66,7272.606381999999
-999,-999,-0.049,0.002,1.007,-1.93,-0.526,0.427,24.226,12.933,-17.688,67,7401.552731999999
-999,-999,-0.051,-0.01,0.985,-19.302,-23.979,4.372,23.862,12.204,-14.886,68,7531.014243999999
-999,-999,-0.044,0.004,0.996,-1.869,0.847,0.58,24.955,10.747,-14.535,69,7660.990615999999
-999,-999,-0.052,0.005,0.997,-1.465,1.167,0.343,25.866,13.115,-15.761,70,7791.482122999999
-999,-999,-0.018,0.01,0.975,-3.578,-10.605,7.591,23.498,15.119,-15.586,71,7922.488375999998
-999,-999,-0.047,0.005,1.013,-0.542,-0.923,0.977,26.412,11.476,-15.236,72,8054.009684999998
-999,-999,-0.045,0.001,1.007,-1.678,0.443,0.465,25.501,12.022,-13.66,73,8186.045806999999
-999,-999,-0.045,0.004,0.996,-1.762,0.496,0.481,24.591,12.204,-14.185,74,8318.596911999999
-999,-999,-0.046,0.002,0.993,-1.724,0.481,0.397,25.866,12.022,-14.36,75,8451.662907999998
-999,-999,-0.043,0.002,0.993,-1.808,0.473,0.366,25.319,12.204,-14.886,76,8585.249090999998
-999,-999,-0.046,0.003,0.989,-1.808,0.511,0.473,25.866,12.386,-14.36,77,8719.350384999998
-999,-999,-0.046,0.003,0.988,-1.747,0.42,0.465,24.591,12.204,-13.835,78,8853.966555999998
-999,-999,-0.045,0.005,0.991,-1.762,0.458,0.443,24.955,12.933,-14.185,79,8989.097847999998
-999,-999,-0.046,0.002,0.992,-1.785,0.496,0.381,24.955,13.297,-13.134,80,9124.743989999997
-999,-999,-0.046,0.003,0.989,-1.709,0.465,0.534,25.137,12.386,-15.411,81,9260.905200999998
-999,-999,-0.044,0.002,0.993,-1.747,0.42,0.351,24.773,13.479,-15.761,82,9397.581304999998
-999,-999,-0.044,0.003,0.989,-1.747,0.435,0.404,25.319,12.569,-13.485,83,9534.772338999997
-999,-999,-0.045,0.006,0.992,-1.808,0.488,0.282,24.226,12.933,-15.236,84,9672.478334999998
-999,-999,-0.044,0.002,0.99,-1.724,0.549,0.343,26.048,12.933,-14.535,85,9810.699326999998
-999,-999,-0.045,0.003,0.99,-1.793,0.519,0.42,26.048,13.297,-15.236,86,9949.438214999998
-999,-999,-0.044,0.006,0.989,-1.755,0.488,0.412,25.501,14.572,-13.66,87,10088.692127999999
-999,-999,-0.045,0.003,0.99,-1.77,0.511,0.381,26.048,13.297,-14.185,88,10228.460858999999
-999,-999,-0.047,0.004,0.988,-1.74,0.526,0.435,24.955,13.297,-14.886,89,10368.739828999998
-999,-999,-0.046,0.002,0.989,-1.701,0.488,0.519,25.137,12.751,-13.66,90,10509.533697999997
-999,-999,-0.044,0.003,0.986,-1.77,0.534,0.435,25.683,12.933,-13.485,91,10650.842440999997
-999,-999,-0.049,0.01,0.991,-1.801,0.427,0.435,26.776,12.933,-14.185,92,10792.666249999997
-999,-999,-0.047,0.004,0.99,-1.678,0.557,0.427,25.137,12.022,-15.061,93,10935.004805999997
-999,-999,-0.044,0.002,0.991,-1.74,0.481,0.473,25.683,12.933,-13.835,94,11077.858496999997
-999,-999,-0.043,0.004,0.99,-1.701,0.511,0.397,25.501,12.751,-15.061,95,11221.227012999998
-999,-999,-0.044,0.005,0.985,-1.778,0.526,0.45,25.501,12.386,-15.761,96,11365.119372999998
-999,-999,-0.044,0.003,0.99,-1.747,0.473,0.404,26.594,12.022,-14.01,97,11509.526542999998
-999,-999,-0.045,0.004,0.992,-1.801,0.526,0.374,26.412,12.204,-13.134,98,11654.448657999998
-999,-999,-0.045,0.003,0.99,-1.74,0.557,0.443,24.955,13.661,-14.185,99,11799.885526999997
